Id,Sentiment,Acara TV,Jumlah Retweet,Text Tweet
20,positive,HitamPutihTransTV,16,Acara hitam putih di trans7 topiknya bagus nih. Ttg Kepribadian ganda.
21,positive,HitamPutihTransTV,17,Nonton kisah anastasya wella di #hitamputihtrans7 seru bgt ya kisahnya. Punya 9 kepribadian berbeda.
22,positive,HitamPutihTransTV,3,Yang bikin selalu rindu kalau jauh dari nya... #hitamputihtrans7
23,positive,HitamPutihTransTV,5,@HitamPutih wihh hebat kakek neneknya @TRANS7
24,positive,HitamPutihTransTV,11,Setelah menunggu sekian lama. Akhirnya @yukikatou2 nongol juga di HITAM PUTIH TRANS7
25,positive,HitamPutihTransTV,0,makin asik hitam putih
26,positive,HitamPutihTransTV,2,"Spensa Boys asal poso di hitam putih trans7 ASLI KALIAN KEREN!! yang pake kemeja biru putih, si gingsul ada salam dari sini"
27,positive,HitamPutihTransTV,6,Wahh asik nih vocalgrup #HitamPutih... thanks @TRANS7
28,positive,HitamPutihTransTV,1,setiap hari aku slalu nonton Hitam Putih di Trans7. Hbs acara nya bagus banget mas Dedy.
29,positive,HitamPutihTransTV,18,Acara Hitam Putih di Trans7 malam ini pembahasannya MANTAB! Setuju kalau bakal diperbanyak yang mengulas hal semacam ini
30,positive,HitamPutihTransTV,2,lg seru nonton hitam putih.. terus lanjut nonton on the spot @indahmariana19 @hitamputiht7 @trans7
31,positive,HitamPutihTransTV,5,#HPJkt48 #JKT48HitamPutihT7 trio unyu di acara master Dedy.. Thanks #HitamPutih
32,positive,HitamPutihTransTV,13,perusahaan jujur pasti punya pekerja yg jujur. #hitamPutihT7
33,positive,HitamPutihTransTV,0,"Keren, undang mereka dong di acara HitamPutih atau acara presiden @news_trans7"
34,positive,HitamPutihTransTV,2,Suka banget sama episode Hitam Putih malam ini! #HitamPutih_Trans7
35,positive,HitamPutihTransTV,19,"Kangen jeketi jadi bintang tamu Hitam Putih Trans7, seru aja gitu pas jaman gen 1 diundang ke hitam putih"
36,positive,HitamPutihTransTV,15,Terima kasih telah menyaksikan Hitam Putih hari ini. Semoga menginspirasi dan terhibur
37,positive,HitamPutihTransTV,1,makin ok saja hitam putih... mau donk di undang.....
38,positive,HitamPutihTransTV,2,Sangat menginspirasi. #hitamputihtrans7 #FOCUS Hari ini banyak inspirasi buat saya
39,positive,HitamPutihTransTV,4,seru nih hitam putih trans7 live
40,positive,HitamPutihTransTV,5,Bersyukurlah kita hidup di Indonesia #hitamputihtrans7
41,positive,HitamPutihTransTV,15,"Setuju banget sama ucapan deddy corbuzier di Hitam Putih Trans7 hr ini. Guru tak perlu diberikan tanda jasa, cukup naikan gaji"
42,positive,HitamPutihTransTV,8,selamat siang selamat beraktivitas juga kami selalu menunggu hitam putih di chaenel kesayangan trans7
43,positive,HitamPutihTransTV,9,Ada @Stefan0Lilipaly & @andik_vermansah di #HitamPutihT7 Keren.. !!!
44,positive,HitamPutihTransTV,4,"nonton trans7 hitam putih keren abis jesika cantik, dedy ganteng @hitamputihtrans7"
45,positive,HitamPutihTransTV,1,acara hitam putih memang oke
46,positive,HitamPutihTransTV,5,"Yuk tweeps merapat, sebentar lagi Hitam Putih akan LIVE!"
47,positive,HitamPutihTransTV,0,"Tweeps terima kasih sudah menyaksikan Hitam Putih hari ini, besok kembali Live di @TRANS7 #HPViral"
48,positive,HitamPutihTransTV,1,#hitamputihtrans7 emang selalu keren.. siapapun tamunya..
49,positive,HitamPutihTransTV,11,"subhanallah, ni anak2 karunia yg tak ada bandingnya... trans7 hitamputih"
50,positive,HitamPutihTransTV,10,"Sangat terkesan setelah mendengar salah satu dr mereka, jika saya adalah orang yg... maju terus hitam putih semoga sukses slalu"
51,negative,HitamPutihTransTV,0,"Hitam putih bego, haruka diundang bentar biar pd liat younglex, udah gt malah dihina, Bego"
52,negative,HitamPutihTransTV,10,"Miris liat pemerintah, Juara angkat berat se-asia tp tdk ada biaya mengikuti kejurnas.. #miris #hitamputihtrans7 "
53,negative,HitamPutihTransTV,5,"Juara 1 angkat berat Se-Asia, tdk menerima hadiahnya dan tidak bisa ikut kejurnas karena terkendala biaya #hitamputihtrans7"
54,negative,HitamPutihTransTV,6,"haruka lain kali kalau diundang ke hitam putih ditolak aja, hostnya ga menghargai kamu"
55,negative,HitamPutihTransTV,0,Berasa aneh nonton acara Hitam Putih tapi penonton nya anak yg sekolah di sekolah gua #smkjakarta1
56,negative,HitamPutihTransTV,0,"sedih dengar curhatanmu, Roxana. Semoga Tuhan tunjukkan jalan dan titik terang utk Roxana #hitamputih #pegulat"
57,negative,HitamPutihTransTV,5,Miris ketika anak Indonesia kesulitan menggunakan Bahasa Indonesa dan lebih nyaman menggunakan bahasa asing #HitamPutihTrans7 #AkuIndonesia
58,negative,HitamPutihTransTV,0,"Sombongnya mentang2 kaya pake diumumkan, saya host kaya di Hitam Putih Trans7...!!!"
59,negative,HitamPutihTransTV,2,parah banget hitam putih di Trans7. Ngomong sembarang. Yg merusak generasi muda acara kyk gini
60,negative,HitamPutihTransTV,0,Orang bangkrut itu bukan perkara soal uang tetapi bangkrut itu orang yang sudah tidak punya mimpi -BangQomar #HitamPutihT7
61,negative,HitamPutihTransTV,0,Menakutkan Powernya Oma Martha #HitamPutihT7
62,negative,HitamPutihTransTV,0,"#hitamputihT7 jika hasilnya tdk sesuai dgn apa yg dikehendaki para pendemo akan demo lg, silakah jika ini diartikan sbg pemaksaan kehendak"
63,negative,HitamPutihTransTV,0,mulut farhat abas anjay bener di #HitamPutihT7
64,negative,HitamPutihTransTV,0,Klo episode berikutnya muncul lagi di @HitamPutihT7 saya ga bakal nonton lg hitam putih.. #hitamputiht7
65,negative,HitamPutihTransTV,0,Yaampun banyak anak kecil yang nonton #hitamputihT7
66,negative,HitamPutihTransTV,0,Seorang anak yg butuh pengakuan dari sang ayah #hitamPutihT7 @marioteguh
67,negative,HitamPutihTransTV,3,Mario Teguh mencampakkan anak nya ? #HitamPutihT7
68,negative,HitamPutihTransTV,4,"Orang tuna netra aja bisa berbagi, kok yg pegang jabatan tinggi korupsi #HitamPutihT7"
69,negative,HitamPutihTransTV,0,@pandji garing banget sih ni orang #hitamputiht7
70,negative,HitamPutihTransTV,0,"kalo sekarang yang nyanyi anak2,, tapi lagu Na ... Terlalu Menyakitkan Memalukan untuk disebutkan #savelaguanak #HitamputihT7"
71,negative,HitamPutihTransTV,3,bukan maksud ngatain tp cuma bertanya knp hanya orang kecil atau bawah yg ditindes? @HitamPutihT7 #HitamPutihT7
72,negative,HitamPutihTransTV,0,"Bos kau kalo cowo kerja salah di bentak abis, kalo cewe malah diajakin becanda trus ketawa #MyStupidBoss #HitamPutihT7"
73,negative,HitamPutihTransTV,0,suara sang veteran kalau perlu koruptor di hukum mati! #hitamPutihT7
74,negative,HitamPutihTransTV,0,Kok berita nya ga nyebar sih #HitamPutihT7 #Trans7
75,negative,HitamPutihTransTV,0,"@HitamPutihT7 buta tuh orang, dalem ruangan pake kacamata hitam #HitamPutihT7"
76,negative,HitamPutihTransTV,0,Ya dunia jadi terharu kepergian mbak jupe @hitamputih_trans7
77,negative,HitamPutihTransTV,0,jadi gitu nasib atlet kita ya? @KEMENPORA_RI #HitamputihT7
78,negative,HitamPutihTransTV,0,knp ya seorang sahabat bs lupa dg sahabatnya bila sudah bertemu teman lama / barunya? #HitamPutihT7
79,negative,HitamPutihTransTV,0,"Baby tatan nangis ngeliat daddy, @HitamPutihT7 #hitamputiht7"
80,negative,HitamPutihTransTV,4,angkat topi dan tundukkan kepala buat mbah simpen #hitamputihtrans7
81,negative,HitamPutihTransTV,0,toleransi umat beragama macam apa yg diterapkan di Serang Banten? Toleransi hanya mitos #hitamPutihT7
82,negative,HitamPutihTransTV,2,suara sang veteran : kalau perlu koruptor di hukum mati! #hitamPutihT7
83,negative,HitamPutihTransTV,0,Turut berduka buat anak nya buk pak #HitamPutihT7
84,negative,HitamPutihTransTV,0,ingin kan hal yg baik tetapi belum tentu semua itu sesuatu yg diharapkan? #moreppie #hitamputihT7
85,negative,HitamPutihTransTV,0,ga tau kenapa semua menjadi buruk ketika kau pergi #moreppie #hitamputihT7
86,negative,HitamPutihTransTV,0,#HitamPutihT7 udah sodok ajah bu haha #TributeToWanitaIndonesia
87,negative,HitamPutihTransTV,0,butuh ketegasan dari pihak masyarakat dan pemerintah kita butuh tindakan bukan hanya ngoceh di medsos #HitamPutihT7 #PollingHitamPutih
88,negative,HitamPutihTransTV,0,hidup itu harus dijalanin bukan dipikirin #hitamputiht7
89,negative,HitamPutihTransTV,0,Pemimpin itu adalah pribadi yang dikorbankan #HitamPutihT7
90,negative,HitamPutihTransTV,2,"Hidup ini dijalanin, bukan dipikirin. Mongol Stres #hitamputiht7"
91,negative,HitamPutihTransTV,0,"#HitamPutihT7 Demo gak akan nyelesaikan masalah, harusnya bermusyawara ajha #HitamPutihT7"
92,negative,HitamPutihTransTV,0,#hitamputihT7 bayangkan kalau seluruh konvensional akan buat online dimana pengusahanya tdk perlu bayar apa2. yg perorangan pasti kalah
93,negative,HitamPutihTransTV,0,"lebih enak taksi konvensional, kalo kita kepepet ada taksi yg lewat langsung, kalau nunggu yg online lama. #HitamPutihT7 #OnlineVsKonvension"
94,negative,HitamPutihTransTV,0,#hitamputiht7 apakah ada hal kaya gini di negara lain ? Intinya saya gk setuju usaha kaya gini #OnlineVSKonvensional
95,negative,HitamPutihTransTV,0,"Gak punya Gadget, mahal, nipu / gk jelas argonya sering argo kuda dan gak aman pake konvensional #hitamputihtrans7"
96,negative,HitamPutihTransTV,0,"Hidup itu pilihan, jangan pasrah dengan keadaan"
97,negative,HitamPutihTransTV,0,#HitamPutihT7 Gawat darurat tetangga menembaki dg sengaja kucing2 disekitar rumah #komplekrumahelitbandung
98,negative,HitamPutihTransTV,0,"miris sekali liat keadaan hewan yg di aniaya, #HitamPutihT7 #hpsayangbinatang"
99,negative,HitamPutihTransTV,0,"hanya membicarakan permasalahan orang lain, memalukan"
100,negative,HitamPutihTransTV,0,dedy sombong nya keteraluan
101,positive,IndonesiaLawyersClubTvOne,5,"Suka banget nonton #IndonesiaLawyersClub bisa menambah wawasan, bisa belajar cara membicarakan suatu masalah, keren @ILC_tvOnenews"
102,positive,IndonesiaLawyersClubTvOne,1,"ngakak, mantap dah pokoknya seru"
103,positive,IndonesiaLawyersClubTvOne,3,RINDU ILC INDOBESIA LAWYERS CLUB DI TVONE
104,positive,IndonesiaLawyersClubTvOne,10,"Indonesia Lawyers Club merupakan program talkshow paling ditunggu pemirsa tvOne, yang membahas topik2 terkini #9TAHUNTVONE"
105,positive,IndonesiaLawyersClubTvOne,11,Selalu kagum dengan Buya Syafii Maarif - ILC tvOne https://youtu.be/gPXSkLtAL5Y
106,positive,IndonesiaLawyersClubTvOne,0,"Saya punya Panglima yang membanggakan, ILC tvOne https://youtu.be/tR2tN1u7eAw"
107,positive,IndonesiaLawyersClubTvOne,14,Rating Indonesia Lawyers Club TV One Langsung Melesat #tvone #setelah411
108,positive,IndonesiaLawyersClubTvOne,4,Sejuk kalo ILC itu kayak gini obrolannya - ILC tvOne
109,positive,IndonesiaLawyersClubTvOne,5,"semuanya nonton tvOne, Indonesia Lawyers Club yuk"
110,positive,IndonesiaLawyersClubTvOne,0,Belajar cara berdebat di bidang hukum #ilc
111,positive,IndonesiaLawyersClubTvOne,2,Selamat tayang kembali Indonesia Lawyers Club tvOne
112,positive,IndonesiaLawyersClubTvOne,18,Ini yg bikin adem Hati.. Aa Gymnastiar #ilc
113,positive,IndonesiaLawyersClubTvOne,10,Ikhlas itu melepaskan dan mendoakan.. #ILC
114,positive,IndonesiaLawyersClubTvOne,4,Bang @karniilyas cerdas ... #ILC hebat
115,positive,IndonesiaLawyersClubTvOne,3,pak Ustadz. keren banget.. #ILC
116,positive,IndonesiaLawyersClubTvOne,3,#ilc saatnya damai bersenandung
117,positive,IndonesiaLawyersClubTvOne,9,Saatnya Damai Bersenandung #ILC dan Pemecah Belah Umat Beragama Dimusnahkan
118,positive,IndonesiaLawyersClubTvOne,11,Semoga makin paham seperti apa sejatinya rupa Indonesia #ILC
119,positive,IndonesiaLawyersClubTvOne,7,ILC malam ini adem #indonesialawyersclub
120,positive,IndonesiaLawyersClubTvOne,19,"Indahnya ILC malam ini, semua pemuka agama saling rangkul dan setuju untuk meninggalkan kasus ahok yang merusak keselarasan bangsa #ILC"
121,positive,IndonesiaLawyersClubTvOne,0,Setuju banget sama bapak ustad #ILC
122,positive,IndonesiaLawyersClubTvOne,5,Top banget Utadz Zaitun Rasmin #ilc
123,positive,IndonesiaLawyersClubTvOne,0,Yuk tonton TVOne selalu menyajikan berita2 obyektif #TVOneSllDihati
124,positive,IndonesiaLawyersClubTvOne,0,"#ilc,,, polmart memang bijaksana"
125,positive,IndonesiaLawyersClubTvOne,2,Rakyat mendukung KPK usut tuntas kasus e-KTP @karniilyas #ILCTVOne
126,positive,IndonesiaLawyersClubTvOne,0,Acara televisi yang sangat saya suka #ilcTvOne
127,positive,IndonesiaLawyersClubTvOne,6,ga sabar nunggu 2019!!! #ILCTvOne
128,positive,IndonesiaLawyersClubTvOne,11,semangat dan sehat selalu pak karni penonton setia menunggu ILC tayang kembali @karniilyas #ILCtvone
129,positive,IndonesiaLawyersClubTvOne,16,Adem dengerin nasehat dari Aa gym semoga sehat slalu dan dalam lindunganNYA #IslamJagaNKRI @GeneralGatot #ILCtvone
130,positive,IndonesiaLawyersClubTvOne,2,"sangat banyak ilmu yang bisa kita serap di #ILCTVONE semalam, menyejukan"
131,positive,IndonesiaLawyersClubTvOne,3,#ILCtvone bangga kepada #PANGLIMATNI #JendralGatotNurmantyo
132,positive,IndonesiaLawyersClubTvOne,4,"Salut dengan komitmen Pak @GeneralGatot , tegas, berwibawa, inilah Jenderal sesungguhnya. #ILC411 #ILCtvone"
133,positive,IndonesiaLawyersClubTvOne,2,Hormat jendral... #ilctvone #keren #nextpresiden2019
134,positive,IndonesiaLawyersClubTvOne,3,Aa gym.... Menyejukan mental dan jiwa #ilctvone
135,positive,IndonesiaLawyersClubTvOne,5,Terimakasih buya Syafii @maarifinstitute . Bangga dg kejernihaannya #ilctvone
136,positive,IndonesiaLawyersClubTvOne,16,Penjelasan Kapolri jelas dan tegas. Barakallahu. Mari buka hati #ilctvone  #JagaNKRI
137,positive,IndonesiaLawyersClubTvOne,19,"jika kita memiliki kasih,  seharusnya saling memaafkan jika ada org yg sudah mau minta maaf, itu baru keren, salut. #ilctvone"
138,positive,IndonesiaLawyersClubTvOne,10,"#Ilctvone @jonru @hafidz_ary @AHMADDHANIPRAST sampe diketawain, krn awalnya kalem, diujung keringat dingin matanya merem asli lucu"
139,positive,IndonesiaLawyersClubTvOne,9,Ahmad Dhani ngomong Pasti seru ini.... #ILCTVOne
140,positive,IndonesiaLawyersClubTvOne,15,"Mendengar pendapat pak hasim muzadi sangat menentramkan, keren #ilctvone"
141,positive,IndonesiaLawyersClubTvOne,13,Salut dan hormat utk bang jhonson panjaitan lugas dan masuk akal... #ILCtvone
142,positive,IndonesiaLawyersClubTvOne,6,Kompak dan sama  pembelaan antara BNN n Polisi...  #ilctvone
143,positive,IndonesiaLawyersClubTvOne,12,Keren kali abang pengacara botak ini #ILCTvOne
144,positive,IndonesiaLawyersClubTvOne,18,Jokowi ini org betul2 soleh.. hendropriyono #ilctvone
145,positive,IndonesiaLawyersClubTvOne,5,Top n mencerahkan prof @mohmahfudmd ..! #ilctvone
146,positive,IndonesiaLawyersClubTvOne,12,Media dukung Ahok karena pendapatan iklan dari korporasi juga besar. #ILCtvone
147,positive,IndonesiaLawyersClubTvOne,4,@ILC_tvOnenews keren bikin melek #ilctvone
148,positive,IndonesiaLawyersClubTvOne,5,Salut sama pak Darmawan Salihin...  #ILCTVONE
149,positive,IndonesiaLawyersClubTvOne,6,semga ilc tetap jadi memberikan informasi yang benar
150,positive,IndonesiaLawyersClubTvOne,7,"acara debat yag hebat, keren #ILC"
151,negative,IndonesiaLawyersClubTvOne,0,Yang di tunggu bukan tvshow tapi INDONESIA LAWYERS CLUB. TVshow tidak cocok dengan karakter siaran tvone!
152,negative,IndonesiaLawyersClubTvOne,2,"Indonesia Lawyers Club TvOne malam ini sepertinya batal tayang lagi. memalukan Rezim ini terlalu sakit, sehingga takut http://fb.me/18pYNAcs"
153,negative,IndonesiaLawyersClubTvOne,5,Potensi teroris sangat besar. Jangan bikin pernyataan yg memberi peluang pd teroris #ILC
154,negative,IndonesiaLawyersClubTvOne,0,"Indonesia banyak masalah tp gak ada sikap tegas dr pak presiden, ditanya di demo malah sibuk pencitraan & upload video gak penting! #ILC"
155,negative,IndonesiaLawyersClubTvOne,0,"Kalau melihat acara #ILC Membidik Habieb Rizieq, Habieb ga perlu pulang ke Indonesia. Ga penting. Ga mutu."
156,negative,IndonesiaLawyersClubTvOne,0,"@Busyro_Muqoddas : Minoritas ekonomi kuat menguasai Mayoritas Ekonomi lemah, tidak pernah dibahas, inilah sumber radikal, miris #ILC @karnii"
157,negative,IndonesiaLawyersClubTvOne,0,sekali lg mengingatkan @aniesbaswedan untuk jaga jarak dg Islamis radikal jika tak ingin melihat bangsa ini hancur. #ILC
158,negative,IndonesiaLawyersClubTvOne,0,omongannya ga menarik. ga berisi. #ILC
159,negative,IndonesiaLawyersClubTvOne,0,Anis difitnah katanya dia... #ILC
160,negative,IndonesiaLawyersClubTvOne,2,Sebuah pertanyaan kepada metromini utk dijadikan metronome yang dibentuk oleh kemacetan yang cukup padat di berikan oleh putra petir. #ilc
161,negative,IndonesiaLawyersClubTvOne,0,"buat para pembela AHOK, Cek cara berpikirnya, masa kalah sama ANAK SD. #AhokHarusDipenjara @ILC_tvOnenews #ILC"
162,negative,IndonesiaLawyersClubTvOne,0,@MataNajwa kok kayak provokatif ya pembawa acaranya. Beda kelas dg #ILC @ILC_tvOnenews
163,negative,IndonesiaLawyersClubTvOne,0,"Saya pribadi tdk suka dgn acara Mata Najwa dan ILC, tdk menyelesaikan masalah kayaknya. #matanajwa #ILC"
164,negative,IndonesiaLawyersClubTvOne,0,Benarkah kebohongan yang diulang-ulang... #iLc
165,negative,IndonesiaLawyersClubTvOne,0,Diracun dengan pujian.. #ILC
166,negative,IndonesiaLawyersClubTvOne,0,"males nonton, Topik #ILC ga kekinian."
167,negative,IndonesiaLawyersClubTvOne,3,Meskipun kebohongan itu lari secepat kilat satu waktu kebenaran akan mengalahkannya #ILC
168,negative,IndonesiaLawyersClubTvOne,0,"org yg namanya tampang Nabi tp hati Iblis, sesuai dgn pernyataan pengacara Nazarudin #ILC"
169,negative,IndonesiaLawyersClubTvOne,0,"para pejabat sedang sibuk membicarakan ""HAK ANGKET"", #ILC tv0ne http://fb.me/2RGmoq4cL"
170,negative,IndonesiaLawyersClubTvOne,0,saya paham bahwa saya gagal paham...  #ILC
171,negative,IndonesiaLawyersClubTvOne,0,"ngomong segitu panjang, gak dapet maksudnya mau apa... #aneh #ilc"
172,negative,IndonesiaLawyersClubTvOne,0,"Sumpah liat mukanya #FahriHamzah di #ILC pengen gw lempar pake sepatu,, nyebelin bgt"
173,negative,IndonesiaLawyersClubTvOne,0,Percuma pak. fahri dower itu masih sakit hati sama KPK. #ILC
174,negative,IndonesiaLawyersClubTvOne,0,"DPR TERUSIK,, KPK DIBIDIK #ILC"
175,negative,IndonesiaLawyersClubTvOne,0,@ReflyHZ Ajarin dewan ttg hak angket !!! #ILC
176,negative,IndonesiaLawyersClubTvOne,0,"Saya rakyat, tp saya jg kadang ga seneng lihat cara nya yg superbodi, kok kyknya tebang pilih jg.. #ILC"
177,negative,IndonesiaLawyersClubTvOne,2,#ILC merajut jakarta kembali setelah tercabik cabik karena kepemimpinan masa lalu
178,negative,IndonesiaLawyersClubTvOne,5,"@karniilyas maksudnya, cinta akan uang adalah akar kejahatan #ILCTVOne"
179,negative,IndonesiaLawyersClubTvOne,0,Makin hari makin geram ngeliat tingkah laku dan akhlaq oknum yang mengatasnama kan ISLAM #ILCTVONE
180,negative,IndonesiaLawyersClubTvOne,2,"Pembohongan publik itu, ketika rambut udah putih beruban tapi di cat hitam #ilctvone"
181,negative,IndonesiaLawyersClubTvOne,0,"#MataNajwa meskipun beda kelas sm #ILCTVOne knp masih bebas tanpa pembatalan, Tanya kenapa?????"
182,negative,IndonesiaLawyersClubTvOne,0,"Nonton ILC tokoh betawi bilang, org betawi itu gampang intinya, ""bacot lu jaga.."" jadi itulah intinya.. #ilctvone"
183,negative,IndonesiaLawyersClubTvOne,0,"Merajut kembali Jakarta? Gampang kok. ""Bacot lu jaga"" #ILCTVOne"
184,negative,IndonesiaLawyersClubTvOne,0,buya safii maarif yg lebih tua kalah bijak dari nasihat bung eep yg jauh lebih muda #ILCtvOne
185,negative,IndonesiaLawyersClubTvOne,0,Merampas hak dasar sebagai manusia harus batal demi hukum #ILCTvOne
186,negative,IndonesiaLawyersClubTvOne,0,Pihak polisi kasihan jadi terlihat sangat bodoh berhadapan dengan argumentasi hukum dan pakar IT #IlcTvOne
187,negative,IndonesiaLawyersClubTvOne,0,"itu bapak Abi Manyu kasian.... beliau tidak paham WhatsApp, miris #ilctvone"
188,negative,IndonesiaLawyersClubTvOne,0,Bintang #ILCtvOne pun muncul #AaGym Tidak ada partai atau tokoh manapun yang sanggup menggerakkan orang http://fb.me/2WDYOkqZU
189,negative,IndonesiaLawyersClubTvOne,0,"Menghimbau jangan terprovokasi, tp memantik kebencian.. Tidak meneduhkan tp membuat mendung.. #ILCTvOne"
190,negative,IndonesiaLawyersClubTvOne,0,Tindakan anarkis pada saat aksi bukan oleh pendemo #ILCTvOne #SaveHmI
191,negative,IndonesiaLawyersClubTvOne,0,"Sepenting apapun itu, ingat kita akan mati, seram #ILCtvone"
192,negative,IndonesiaLawyersClubTvOne,0,"siapa lagi? ketua preman pasar ikutan ngomong, memalukan #ILCtvone"
193,negative,IndonesiaLawyersClubTvOne,0,"jgn krn cuma jaga moral dr konten porno, negara ini darurat radikalisme, mau tunggu perang kyk di suriah baru kpi sadar? #ILCTVONE"
194,negative,IndonesiaLawyersClubTvOne,0,kami butuh fakta bukti bukan hanya ngomong kebohongan #ILCTVOne
195,negative,IndonesiaLawyersClubTvOne,2,Kasian ya yg bapak2 berpeci pake batik merah tadi air mata nya dikeluarin cuma krn ahoax #miris #ILCtvone
196,negative,IndonesiaLawyersClubTvOne,0,"Syaiton itu musuhmu, jgn dijadikan sbg teman Manusia bs kesetanan, tp setan tdk bs kemanusiaan... #insyaflahwahaimanusia #ILCtvone"
197,negative,IndonesiaLawyersClubTvOne,0,"#ILCtvone mendengar cerita bu marwah aku merasa bodoh, memalukan"
198,negative,IndonesiaLawyersClubTvOne,0,#ILCTVONE ini bang gaya nya benar2 pemikiran liberal miris sekali
199,negative,IndonesiaLawyersClubTvOne,0,Sesat pikir para pengamat #taxamnesti #ILCtvone
200,negative,IndonesiaLawyersClubTvOne,0,berbicara kelamaan ribet #ILC
201,positive,KickAndyMetroTV,4,"ih lucu, mas kick andy nya senyum2 aja"
202,positive,KickAndyMetroTV,2,nonton pak hasan Merkids di kick andy sangat menginspirasi salut pak hasan
203,positive,KickAndyMetroTV,11,cara Ubah Mimpimu Jadi Tindakan Kick Andy
204,positive,KickAndyMetroTV,3,Kickandy gokil #kickandy
205,positive,KickAndyMetroTV,13,"Terima kasih sudah menonton acara #kickandy eps ubah mimpimu jadi tindakan, semoga bermanfaat"
206,positive,KickAndyMetroTV,15,Temukan lentera jiwamu #kickandy #mahasiswaum
207,positive,KickAndyMetroTV,9,Agung.. Saya akan undang lagi.. Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
208,positive,KickAndyMetroTV,4,PARA MUSISI YG MENGGELORAKAN SEMANGAT NASIONALISME DAN KEBHINEKAAN UNJUK GIGI #KICKANDY NKRI HARGA MATI...
209,positive,KickAndyMetroTV,7,Anak2 mulai berimajinasi. #kickandy
210,positive,KickAndyMetroTV,2,CARA GILA MENDAKI GUNUNG #KickAndy Luar Biasa Mantap Jiwa
211,positive,KickAndyMetroTV,0,sayangilah alam niscaya alam akan menyayangimu #kickAndy
212,positive,KickAndyMetroTV,12,mantan narapidana pun dirangkulnya untuk dicarikan pekerjaan untuk menjalani hidup yg lbh baik lagi
213,positive,KickAndyMetroTV,5,Agung @eevnxx mampu membuktikan sebuah karya yg mengagumkan bisa dihasilkan dgn belajar scr otodidak
214,positive,KickAndyMetroTV,7,Salah satu kejadian yang membuat penonton tertawa saat agung hapsah muncul #KickAndy
215,positive,KickAndyMetroTV,5,Agung akan diundang  Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy
216,positive,KickAndyMetroTV,0,Jatuh lalu bangkit Untuk membantu sesama #Kickandy
217,positive,KickAndyMetroTV,4,Rasa bangga itu ada setelah saya bs menyumbang karya kecil buat NKRI Ronny #KickAndy patut acungi jempol
218,positive,KickAndyMetroTV,3,"Sahabat Gimbal Alas, nanti malam jangan lupa ya nonton #KickAndy Cara Gila Mendaki Gunung ala Cak Tarpin"
219,positive,KickAndyMetroTV,6,"Hanya orang takut yang bisa berani, karena keberanian http://ekhs7903.m.nomor1.com/ekhs7903/menulis-adalah-kesenangan-saya.htm … #kickandy"
220,positive,KickAndyMetroTV,5,#kickandy Anda hanya dekat dengan mereka yang Anda sukai. Dan Anda menghindari orang yag tidak Anda sukai
