Id,Text Tweet,Sentiment
147,Dengan jaringan 4G super cepat dari <PROVIDER_NAME> smartphone kamu terus terkoneksi dan bisa pantau aktivitas di sosial media :,positive
148,Menggunakan medsos harus sebijak mungkin. Apalagi ada fasilitas makin oke kayak FB gratis 30MB & free YouTube/Yonder/Genflix dari <PROVIDER_NAME>,positive
149,"pagi itu, menyegarkan mata selain lari2 kecil, bisa juga dengan nikmatin internet, atau nelpon yang super murah, suara jernih pake <PROVIDER_NAME>. gitu!",positive
150,"Buka puasa sambil streaming di YouTube lancar banget pake <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.",positive
151,Selain jaringan 4G <PROVIDER_NAME> yang sangat luas temanku juga bisa nelpon ke operator lain secara gratis & suaranya juga jernih banget,positive
152,Koneksi internet <PROVIDER_NAME> yg lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.,positive
153,ayo penuhi viralkan keras #Boikot<PROVIDER_NAME>! Nomor sy nomer <PROVIDER_NAME> cantik dr th2007 lgsg sy buang!Jgn main2 dg umat Islam yg brsatu,negative
154,AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 <URL>,negative
155,"Selama ini saya pake <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME>",negative
156,CEO <PROVIDER_NAME> harus bertanggung jawab. Sudah ada counter perdana HP berhenti jual perdana <PROVIDER_NAME> #Boikot<PROVIDER_NAME>,negative
157,Biar jadi pelajaran buat yang lain... Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! #Boikot<PROVIDER_NAME>,negative
158,"kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering nyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa",negative
159,Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL>,positive
160,Uji kecepatan <PRODUCT_NAME> #opensignal-ku di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek,negative
161,Tolong di urus segera saya ga mau bayar data yang saya ga dapet datanya <PROVIDER_NAME> <PROVIDER_NAME>,negative
162,Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin #passengers…,positive
163,Makasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME> mu,positive
164,Makan malam gratis hari ini hasil tuker <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>,positive
165,"Mohon di up jaringan 4G di wilayah Morowali, sangat buruk..  <PROVIDER_NAME> <PROVIDER_NAME>",negative
166,Jaringan <PROVIDER_NAME> di Waru Atas arae Site WKP tidak dapat digunakan untuk telpon mohon cek Team <PROVIDER_NAME> ,negative
167,Semakin hari kualitas dan pelayanannya semakin buruk. Selama 5 bulan melakukan pelaporan namun tidak ada tindakan perbaikan. <PROVIDER_NAME>,negative
168,<PROVIDER_NAME> tolong jaringan di MUARA KAMAN diperbaiki... BBM aja ga bisa ngakses...menyambungkan melulu... sudah 3 minggu lebih,negative
169,Uji kecepatan NYATA  di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek,negative
170,Tolong diurus segera saya ga mau bayar data yang saya ga dapat datanya <PROVIDER_NAME> <PROVIDER_NAME>,negative
171,Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL> ,positive
172,Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>,positive
173,Makan malam gratis hari ini hasil tukar <PROVIDER_NAME> Poin   <PROVIDER_NAME>… <URL>,positive
174,ayo viralkan keras #Boikot<PROVIDER_NAME>! Nomor saya nomer <PROVIDER_NAME> cantik dari tahun 2007 saya buang! Jangan main2 dengan umat Islam yang brsatu,negative
175,AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 ,negative
176,"Selama ini saya pakai <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME> ",negative
177,"kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering menyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa",negative
178,"Buka puasa sambil streaming di YouTube lancar banget pakai <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.",positive
179,Koneksi internet <PROVIDER_NAME> yang lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.,positive
180,<PROVIDER_NAME> kamu kenapa sinyalnya php <PROVIDER_NAME>,negative
181,Koneksi internet yang sangat menjengkelkan. <PROVIDER_NAME>  #lemot ,negative
182,"<PROVIDER_NAME> Nelpon lebih murah pake JS, kurang dari Rp1/detik. <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME>",positive
183,"Terima kasih PT <PROVIDER_NAME> , kiriman GRATIS <PROVIDER_NAME> Home-nya sudah tiba.",positive
184,Kualitas sinyal 4G <PROVIDER_NAME> ikut melengkapi meriahnya festival tersebut. ,positive
185,saya pindah ke <PROVIDER_NAME> yang memang sudah terbukti,positive
186,Ini sinyal H+ palsu. Seperti H+ rasa edge. <PROVIDER_NAME> <PROVIDER_NAME> ,negative
187,Pelanggan <PROVIDER_NAME> <PROVIDER_NAME> yg ada di area #Pandeglangkota dirugikan krn jaringan telponnya rusak dan tidak diperbaiki,negative
188, Hati-hati Tukang Tipu!! <PROVIDER_NAME>,negative
189,Sedih. Pakai <PROVIDER_NAME> 4G gak stabil.,negative
190,Jarigan <PROVIDER_NAME> lelet. Karena gangguan atau rusak ya,negative
191,"Daerah Jagakarsa, pakai <PROVIDER_NAME> sinyalnya jelek, yang satu H+ gak dapat 4G, yang satu dapat 4G tapi gak ada sinyal?",negative
192,<PROVIDER_NAME> cacat,negative
193,Ini baru #koneksi #internet #4g <PROVIDER_NAME> <URL> ,positive
194,<PROVIDER_NAME> BagiBerkah ...gak ada kata susah ..cukup sekali sentuh jadi mudah dan berfaedah,positive
195,<PROVIDER_NAME> tumbang di kota Semarang,negative
196,Kuotaku masih banyak internetan aja gak bisa <PROVIDER_NAME> <PROVIDER_NAME>Care <PROVIDER_NAME> ,negative
197,Selalu Lemot <PROVIDER_NAME>,negative
198,<PROVIDER_NAME> BerbagiBerkah karena berbagi itu menyenangkan apalagi sama orang yang kita sayangi.,positive
199,Santai pakai <PROVIDER_NAME> <PROVIDER_NAME>4G <PROVIDER_NAME>BagiBerkah bisa diandalkan,positive
200,banyak yang masih setia memggunakan <PROVIDER_NAME>,positive
201,"Yang saya pengen <PROVIDER_NAME> selangkah lebih maju dari yang lain baik layanan ataupun jaringan 3G atau 4G,",positive
202,Yuk pakai <PROVIDER_NAME> Rp1 gratis 1GB,positive
203,Lebaran tetap pakai <PROVIDER_NAME> yaa #Rp1 gratis 1GB,positive
204,sinyal 4G <PROVIDER_NAME> dipalembang lancar,positive
205,Keren di rembang ada sinyal 4G <PROVIDER_NAME>,positive
206,sinyal <PROVIDER_NAME> kuat banget,positive
207,4G <PROVIDER_NAME> dapat banget disini,positive
208,"Berkat <PROVIDER_NAME> mudiknya jd nyaman,mampir ke posko pun senang..",positive
209,Terimakasih <PROVIDER_NAME>,positive
210,untungnya sudah pakai <PROVIDER_NAME>,positive
211,Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. terbaik,positive
212,"<PROVIDER_NAME> memang jauh lebih murah dari <PROVIDER_NAME>, banyak bonusnya lagi",positive
213,RT <USER_MENTION>: Buat <PROVIDER_NAME> setelah kuota habis saya mau ganti provider  ,negative
214,<PROVIDER_NAME> memang jancok! sinyal payah,negative
215,saya paling tidak pernah pakai  <PROVIDER_NAME>,negative
216,RT <USER_MENTION>: Belum ada permintaan maaf dan pernyataan apapun?  Lanjut boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME> <URL>,negative
217,<PROVIDER_NAME> masa kuota malam saya sudah habis duluan? Logikanya dimana? <URL>,negative
218,"RT <USER_MENTION>: <PROVIDER_NAME> ini <PROVIDER_NAME> di sini jaringan 4G nya penuh, cuma ga mau konek ke internet...",negative
219,Sinyal 4g nya stabil nih. mantap <PROVIDER_NAME> <URL>,positive
220,"Fungsinya data lokal, 4G sama Flash apa? Toh mau 4G atau 3G yang terpakai duluan data lokalnya. mahal lagi. <PROVIDER_NAME>",negative
221,"Hore, dapat makan malam gratis hari ini karena <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>",positive
222,"Wajar saja <PROVIDER_NAME> dihack, harga mahal banget dan koneksi lambat lagi <PROVIDER_NAME>mahal <PROVIDER_NAME> ",negative
223,*ganti* paket <PROVIDER_NAME>  5Gb langsung lancar dan #TransaksiNormal,positive
224,Selalu saja ada masalah #Indonesia <PROVIDER_NAME> #konsumen <USER_MENTION>,negative
225,Alhamdulillah gratisan youtube dari <PROVIDER_NAME> pada bulan Ramadhan ini berfaedah sekali.,positive
226,<PROVIDER_NAME> KENAPA. sinyal hilang mulu,negative
227,Data yang sama sekali tidak ada manfaatnya.  <PROVIDER_NAME> <URL> …,negative
228,<PROVIDER_NAME> goblok banget sih sekarang <PROVIDER_NAME> #jadimurahan ,negative
